company_name,full_address ,city,state,zip_code,contact_phone,website_url,lat,lon,rating,review_count,description,camp_type,place_id,age_range,session_length,specialties,contact_name,contact_email,contact_title,country
Camp Tawonga,"131 Steuart St #460, San Francisco, CA 94105, USA",San Francisco,CA,94105.0,(415) 543-2267,http://www.tawonga.org/,37.7930558,-122.3924477,,,,general,ChIJm2RgsmWAhYARW96bpWwrbaY,6-18,flexible,{general},,,,USA
Camp Telaphiba,"CORPORATE OFFICES, 8820 W 116th Cir B, Broomfield, CO 80021, USA",Broomfield,CO,80021.0,(205) 656-0154,http://www.camptelaphiba.com/,39.9031906,-105.0991731,5.0,39.0,,general,ChIJ4TRk88CLa4cRUUdF0j8HK0Y,6-18,flexible,{general},,,,USA
Camp Ten Trees,"1122 E Pike St #1488, Seattle, WA 98122, USA",Seattle,WA,98122.0,(206) 288-9568,https://camptentrees.org/,47.614279,-122.317045,5.0,5.0,,general,ChIJeQ--y81qkFQR7TpRAjA0i8c,6-18,flexible,{general},,,,USA
Camp Vamonos! - Austin Summer Camp & After School Program,"6919 Reese Ln, Austin, TX 78757, USA",Austin,TX,78757.0,(512) 770-7789,https://campvamonos.com/,30.3397152,-97.722438,5.0,13.0,,general,ChIJ70F6fMPLRIYRWVZXdwq_3_0,6-18,seasonal,{general},,,,USA
Camp West,"4539 California Ave SW, Seattle, WA 98116, USA",Seattle,WA,98116.0,(425) 224-6944,http://www.thecampwest.com/,47.5618121,-122.3869781,4.6,184.0,,general,ChIJTX350fNBkFQRja8alrtZTSQ,6-18,flexible,{general},,,,USA
Coleman Country Day Camp,,,,,,https://colemancountry.com/,,,,,,,,,,,,,,USA
Colorado Academy Summer Programs,,,,,,https://www.coloradoacademysummer.org/,,,,,,,,,,,,,,USA
Columbia University - Little Lions Camp (formerly Cubs Camp),,,,,,http://perec.columbia.edu/littlelionscamp,,,,,,,,,,,,,,USA
Coppell Family YMCA,,,,,,https://ymcadallas.org/locations/coppell-family-ymca?utm_source=google&utm_medium=organic&utm_campaign=gbp,,,,,,,,,,,,,,USA
Creator Camp Austin,,,,,,https://www.creatorcamp.org/,,,,,,,,,,,,,,USA
